
COORDINATES ARE EAST,NORTH,UP.
stress tensors are:
X Y See Sen Seu Snn Snu Suu
  219.0     64.0    -99.0     12.0    0.83    0    1
  159.0     63.0    -41.0     11.3    0.81    0    1
  190.0     80.0    -62.0     23.0    0.35    0    1
  221.0     55.0   -120.0     13.1    0.89    0    1
  283.0     48.0    -81.0     10.8    1.19    0    1
  297.0     49.0    -81.0      4.8    1.16    0    2
  312.0     36.0    -45.0     39.9    0.97    0    2
  161.0     57.0    -94.0     40.9    0.90    0    2
  322.0     76.0    -65.0     19.6    0.67    0    2
  173.0     70.0    -13.0     40.8    0.64    0    2
   82.0     54.0    -70.0     31.6    1.03    0    2
  219.0     64.0    -99.0     17.6    0.85    0    2
  159.0     63.0    -41.0      8.6    0.87    0    2
  190.0     80.0    -62.0     22.2    0.38    0    2
  221.0     55.0   -120.0      6.9    0.90    0    2
  283.0     48.0    -81.0     12.9    1.21    0    2
  150.0     84.0    -22.0      4.7    0.60    0    2
  297.0     49.0    -81.0      3.0    1.18    0    3
  312.0     36.0    -45.0     37.6    1.01    0    3
  161.0     57.0    -94.0     36.1    0.90    0    3
  322.0     76.0    -65.0     21.0    0.66    0    3
  173.0     70.0    -13.0     46.3    0.64    0    3
   82.0     54.0    -70.0     29.7    1.09    0    3
  219.0     64.0    -99.0     18.5    0.87    0    3
  159.0     63.0    -41.0     13.3    0.86    0    3
  190.0     80.0    -62.0     27.9    0.38    0    3
  221.0     55.0   -120.0      6.3    0.94    0    3
  283.0     48.0    -81.0     11.1    1.23    0    3
  150.0     84.0    -22.0      0.6    0.59    0    3
  199.0     42.0   -109.0     15.3    0.68    0    3
  297.0     49.0    -81.0      3.2    1.18    0    4
  312.0     36.0    -45.0     37.2    1.03    0    4
  161.0     57.0    -94.0     34.6    0.91    0    4
  322.0     76.0    -65.0     21.0    0.65    0    4
  173.0     70.0    -13.0     46.8    0.64    0    4
   82.0     54.0    -70.0     30.0    1.09    0    4
  219.0     64.0    -99.0     18.5    0.85    0    4
  159.0     63.0    -41.0     14.7    0.87    0    4
  190.0     80.0    -62.0     25.8    0.37    0    4
  221.0     55.0   -120.0      6.3    0.93    0    4
  283.0     48.0    -81.0     11.4    1.23    0    4
  150.0     84.0    -22.0      1.0    0.58    0    4
  199.0     42.0   -109.0     14.9    0.70    0    4
  138.0     64.0    -61.0      4.7    0.97    0    4
  161.0     57.0    -94.0     41.4    0.92    0    5
  322.0     76.0    -65.0      2.5    0.45    0    5
  173.0     70.0    -13.0     54.9    0.75    0    5
   82.0     54.0    -70.0     11.9    0.84    0    5
  219.0     64.0    -99.0      5.7    1.12    0    5
  159.0     63.0    -41.0     11.1    0.87    0    5
  297.0     30.0   -160.0     42.1    0.79    0    5
   86.0     45.0    -54.0     23.6    1.11    0    5
  283.0     48.0    -81.0     19.7    1.12    0    5
  150.0     84.0    -22.0      7.4    0.48    0    5
  199.0     42.0   -109.0     29.2    0.67    0    5
  138.0     64.0    -61.0     18.0    0.91    0    5
  161.0     57.0    -94.0     41.4    0.92    0    6
  322.0     76.0    -65.0      2.5    0.45    0    6
  173.0     70.0    -13.0     54.9    0.75    0    6
   82.0     54.0    -70.0     11.9    0.84    0    6
  219.0     64.0    -99.0      5.7    1.12    0    6
  159.0     63.0    -41.0     11.1    0.87    0    6
  297.0     30.0   -160.0     42.1    0.79    0    6
   86.0     45.0    -54.0     23.6    1.11    0    6
  283.0     48.0    -81.0     19.7    1.12    0    6
  150.0     84.0    -22.0      7.4    0.48    0    6
  199.0     42.0   -109.0     29.2    0.67    0    6
  138.0     64.0    -61.0     18.0    0.91    0    6
  161.0     57.0    -94.0     41.4    0.92    0    7
  322.0     76.0    -65.0      2.5    0.45    0    7
  173.0     70.0    -13.0     54.9    0.75    0    7
   82.0     54.0    -70.0     11.9    0.84    0    7
  219.0     64.0    -99.0      5.7    1.12    0    7
  159.0     63.0    -41.0     11.1    0.87    0    7
  297.0     30.0   -160.0     42.1    0.79    0    7
   86.0     45.0    -54.0     23.6    1.11    0    7
  283.0     48.0    -81.0     19.7    1.12    0    7
  150.0     84.0    -22.0      7.4    0.48    0    7
  199.0     42.0   -109.0     29.2    0.67    0    7
  138.0     64.0    -61.0     18.0    0.91    0    7
  322.0     76.0    -65.0      7.0    0.51    0    8
  173.0     70.0    -13.0     47.0    0.77    0    8
   82.0     54.0    -70.0     13.2    0.79    0    8
  219.0     64.0    -99.0      7.3    1.16    0    8
