
COORDINATES ARE EAST,NORTH,UP.
stress tensors are:
X Y See Sen Seu Snn Snu Suu
  0  28  0.880974 -0.730148  0.341380 -0.108426  0.079303 -0.772549
  0  29  0.828095 -0.708756  0.182954 -0.097344  0.105152 -0.730751
  0  30  0.764976 -0.719236 -0.007647  0.138782 -0.095471 -0.903758
  0  31  0.737310 -0.740540 -0.035793  0.115297 -0.076767 -0.852607
  0  32  0.766608 -0.715552 -0.037485  0.081970 -0.038762 -0.848579
  0  33  0.752760 -0.655588 -0.096909  0.170036 -0.060114 -0.922797
  0  34  0.774830 -0.639640 -0.078795  0.132362 -0.089800 -0.907192
  0  35  0.755598 -0.642548 -0.065214  0.142337 -0.104395 -0.897935
  0  36  0.784242 -0.735175 -0.149560  0.150944 -0.103468 -0.935186
  0  37  0.782013 -0.690643 -0.183062  0.191862 -0.085941 -0.973876
  0  38  0.783099 -0.680574 -0.182192  0.198098 -0.062337 -0.981197
  0  39  0.787592 -0.671848 -0.193125  0.193763 -0.089267 -0.981355
  0  40  0.761899 -0.712839 -0.170576  0.194250 -0.108117 -0.956149
  0  41  0.743707 -0.730107 -0.187558  0.250053 -0.080733 -0.993760
  0  42  0.825289 -0.639157 -0.188769  0.242483 -0.113363 -1.067772
  0  43  0.872063 -0.636841 -0.221593  0.193715 -0.063156 -1.065778
  0  44  0.864071 -0.632384 -0.158573  0.192016 -0.121388 -1.056087
  0  45  0.809935 -0.660572 -0.141329  0.083234 -0.013724 -0.893169
  0  46  0.857697 -0.602394 -0.101307  0.149855 -0.075832 -1.007552
  0  47  0.821459 -0.631059 -0.095216  0.197020 -0.136891 -1.018479
  0  48  0.732658 -0.664963 -0.062297  0.375336 -0.092111 -1.107994
  0  49  0.732658 -0.664963 -0.062297  0.375336 -0.092111 -1.107994
  0  50  0.773501 -0.681583 -0.072328  0.325695 -0.098427 -1.099196
  0  51  0.773501 -0.681583 -0.072328  0.325695 -0.098427 -1.099196
